UniqueID,PersonID,Group,PractLevel,Sequence,ItemNum,NormVariant,Defect_Type,Diagnosis,UserTOC,Certainty,ItemNAbN,Accurate
38,MS001,MS,Medical Student,38,A0223,FALSE,SH II of distal fibula and avulsion of distal tibia,Salter-Harris II fracture of the distal fibula,35.551,Definitely,Abnormal,1
39,MS001,MS,Medical Student,39,A0019,FALSE,None,Normal,28.481,Probably,Normal,0
40,MS001,MS,Medical Student,40,A0166,TRUE,Os Trigonum,Normal variant with os trigonum posterior to talus,15.162,Probably,Normal,1
41,MS001,MS,Medical Student,41,A0140,TRUE,Extra Ossification Centre,Normal variant with an extra ossification centre at the superior part of the calcaneus,22.212,Probably,Normal,1
42,MS001,MS,Medical Student,42,A0120,FALSE,None,Normal,26.759,Probably,Normal,0
43,MS001,MS,Medical Student,43,A0148,TRUE,Os Trigonum,Normal variant with os trigonum posterior to talus,14.741,Definitely,Normal,1
44,MS001,MS,Medical Student,44,A0015,FALSE,None,Normal,14.691,Definitely,Normal,1
45,MS001,MS,Medical Student,45,A0144,TRUE,Possible fibrocartilagenous coalition of the talocalcaneal joint,Normal variant with possible fibrocartilaginous coalition of the middle facette of the talocalcaneal joint,13.299,Definitely,Normal,1
46,MS001,MS,Medical Student,46,A0179,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,55.861,Probably,Abnormal,0
47,MS001,MS,Medical Student,47,A0046,TRUE,Extra Ossicle,Normal variant with an extra ossicle at the tip of lateral malleolus,22.061,Probably,Normal,0
48,MS001,MS,Medical Student,48,A0169,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,10.265,Definitely,Abnormal,0
49,MS001,MS,Medical Student,49,A0123,TRUE,Extra Ossification Centre,Normal variant with an extra ossification centre of the distal tibia,29.232,Definitely,Normal,0
50,MS001,MS,Medical Student,50,A0247,FALSE,SH III of distal tibia,Salter-Harris III fracture of the distal tibial epiphysis,13.009,Probably,Abnormal,0
51,MS001,MS,Medical Student,51,A0239,FALSE,Oblique SH II of distal tibia and spiral fracture of distal fibula,Salter-Harris II fracture of distal tibia Associated spiral fracture of the distal fibular shaft,12.328,Definitely,Abnormal,1
52,MS001,MS,Medical Student,52,A0024,FALSE,None,Normal,12.909,Probably,Normal,1
53,MS001,MS,Medical Student,53,A0205,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,25.767,Probably,Abnormal,0
54,MS001,MS,Medical Student,54,A0151,FALSE,Avulsion fx of distal fibula,Avulsion fracture of the distal fibula,11.106,Probably,Abnormal,0
55,MS001,MS,Medical Student,55,A0071,FALSE,None,Normal,30.494,Probably,Normal,1
56,MS001,MS,Medical Student,56,A0041,FALSE,None,Normal,29.602,Probably,Normal,1
57,MS001,MS,Medical Student,57,A0159,FALSE,Distal fibular epiphyseal avulsion fx,Probable avulsion fracture of the distal fibular epiphysis,26.899,Probably,Abnormal,1
58,MS001,MS,Medical Student,58,A0244,FALSE,SH III of distal tibia,Salter-Harris III fracture of the tibia,23.163,Definitely,Abnormal,1
59,MS001,MS,Medical Student,59,A0089,FALSE,None,Normal,20.49,Probably,Normal,1
60,MS001,MS,Medical Student,60,A0161,FALSE,Distal fibular epiphyseal avulsion fx SH I also suspected,Salter-Harris I of distal fibula and possible distal fibular avulsion fracture,18.106,Probably,Abnormal,1
61,MS001,MS,Medical Student,61,A0235,FALSE,Spiral SH II of distal tibia,Spiral and Salter-Harris II fracture of distal tibia,14.22,Definitely,Abnormal,1
62,MS001,MS,Medical Student,62,A0199,FALSE,None,Normal,16.223,Probably,Normal,1
63,MS001,MS,Medical Student,63,A0160,FALSE,Avulsion fx of distal fibula,Avulsion fracture of the distal fibula,21.06,Probably,Abnormal,0
64,MS001,MS,Medical Student,64,A0110,FALSE,None,Normal,13.93,Definitely,Normal,1
65,MS001,MS,Medical Student,65,A0069,FALSE,None,Normal,17.145,Probably,Normal,1
66,MS001,MS,Medical Student,66,A0215,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,18.396,Probably,Abnormal,1
67,MS001,MS,Medical Student,67,A0038,FALSE,None,Normal,10.485,Definitely,Normal,1
68,MS001,MS,Medical Student,68,A0112,FALSE,None,Normal,14.06,Definitely,Normal,1
69,MS001,MS,Medical Student,69,A0256,FALSE,SH III of distal tibia,Salter-Harris III (Tillaux) fracture of the tibia,26.568,Probably,Abnormal,0
70,MS001,MS,Medical Student,70,A0035,FALSE,None,Normal,47.708,Probably,Normal,1
71,MS001,MS,Medical Student,71,A0222,FALSE,SH II of distal fibula,Likely a Salter-Harris I or II fracture of the distal fibula,24.425,Definitely,Abnormal,0
72,MS001,MS,Medical Student,72,A0250,FALSE,SH IV of distal tibia,Salter-Harris IV fracture of the distal tibia,27.62,Probably,Abnormal,0
73,MS001,MS,Medical Student,73,A0093,FALSE,None,Normal,11.076,Probably,Normal,1
74,MS001,MS,Medical Student,74,A0007,FALSE,Osteochondritis Dissecans,No fracture  Noted osteochondritis dissecans,16.484,Definitely,Abnormal,0
75,MS001,MS,Medical Student,75,A0200,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula and extra ossification centre adjacent to the medial malleolus,16.974,Probably,Abnormal,1
76,MS001,MS,Medical Student,76,A0055,FALSE,None,Normal,15.001,Probably,Normal,1
77,MS001,MS,Medical Student,77,A0121,TRUE,Extra Ossification Centre,Normal variant with an extra ossification centre of the distal tibia,19.258,Probably,Normal,1
78,MS001,MS,Medical Student,78,A0134,FALSE,None,Normal,10.716,Probably,Normal,1
79,MS001,MS,Medical Student,79,A0092,FALSE,None,Normal,14,Probably,Normal,1
80,MS001,MS,Medical Student,80,A0039,FALSE,None,Normal,16.744,Definitely,Normal,1
81,MS001,MS,Medical Student,81,A0184,FALSE,None,Normal,15.272,Probably,Normal,0
82,MS001,MS,Medical Student,82,A0137,FALSE,None,Normal,10.596,Probably,Normal,1
83,MS001,MS,Medical Student,83,A0005,FALSE,None,Normal,14.631,Probably,Normal,1
84,MS001,MS,Medical Student,84,A0034,FALSE,None,Normal,7.751,Probably,Normal,1
85,MS001,MS,Medical Student,85,A0242,FALSE,SH III of distal tibia,Salter-Harris III fracture of the lateral aspect of the distal tibia,13.58,Probably,Abnormal,0
86,MS001,MS,Medical Student,86,A0064,FALSE,None,Normal,11.256,Probably,Normal,1
87,MS001,MS,Medical Student,87,A0167,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,11.346,Probably,Abnormal,1
88,MS001,MS,Medical Student,88,A0176,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,35.821,Probably,Abnormal,1
89,MS001,MS,Medical Student,89,A0230,FALSE,SH II of distal tibia,Salter-Harris II and spiral fracture of the distal tibia,991.175,Definitely,Abnormal,1
90,MS001,MS,Medical Student,90,A0197,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,41.84,Probably,Abnormal,0
91,MS001,MS,Medical Student,91,A0104,FALSE,None,Normal,16.684,Probably,Normal,1
92,MS001,MS,Medical Student,92,A0162,FALSE,Distal fibular epiphyseal avulsion fx,Avulsion fracture of the distal fibular epiphysis,12.819,Probably,Abnormal,0
93,MS001,MS,Medical Student,93,A0132,FALSE,None,Normal,26.097,Definitely,Normal,1
94,MS001,MS,Medical Student,94,A0066,FALSE,None,Normal,12.017,Definitely,Normal,1
95,MS001,MS,Medical Student,95,A0099,FALSE,None,Normal,12.177,Probably,Normal,1
96,MS001,MS,Medical Student,96,A0171,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,17.224,Probably,Abnormal,1
97,MS001,MS,Medical Student,97,A0186,FALSE,SH I and avulsion of distal fibula,Suggestive of a Salter-Harris I fracture and avulsion fracture of distal fibula,12.198,Definitely,Abnormal,0
98,MS001,MS,Medical Student,98,A0194,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,13.68,Probably,Abnormal,1
99,MS001,MS,Medical Student,99,A0156,FALSE,Avulsion fx of distal fibula with extra ossification centre at tibia,Avulsion fracture of the distal fibula with an extra ossification centre at distal tibia Os trigonum above the calcaneus,9.994,Definitely,Abnormal,0
100,MS001,MS,Medical Student,100,A0190,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,12.448,Probably,Abnormal,1
101,MS001,MS,Medical Student,101,A0249,FALSE,SH III of distal tibia,Salter-Harris III fracture of the distal tibia,137.107,Definitely,Abnormal,1
102,MS001,MS,Medical Student,102,A0192,FALSE,None,Normal,23.354,Probably,Normal,1
103,MS001,MS,Medical Student,103,A0149,FALSE,None,Normal,16.033,Probably,Normal,1
104,MS001,MS,Medical Student,104,A0114,FALSE,None,Normal,9.544,Probably,Normal,1
105,MS001,MS,Medical Student,105,A0163,FALSE,Distal fibular epiphyseal avulsion fx,Avulsion fracture of the distal fibular epiphysis Extra ossification centre of tibia and os trigonum,80.566,Definitely,Abnormal,1
106,MS001,MS,Medical Student,106,A0013,FALSE,None,Normal,19.819,Probably,Normal,1
107,MS001,MS,Medical Student,107,A0068,FALSE,None,Normal,13.46,Probably,Normal,1
108,MS001,MS,Medical Student,108,A0238,FALSE,SH IV of distal tibia,Salter-Harris IV (Triplane) fracture of the distal tibia,26.749,Probably,Abnormal,0
109,MS001,MS,Medical Student,109,A0227,FALSE,SH II of distal fibula,Possible Salter-Harris II fracture of the distal fibula,21.341,Probably,Abnormal,0
110,MS001,MS,Medical Student,110,A0201,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,11.307,Probably,Abnormal,0
111,MS001,MS,Medical Student,111,A0122,FALSE,None,Normal,13.59,Definitely,Normal,1
112,MS001,MS,Medical Student,112,A0165,FALSE,Distal fibular epiphyseal avulsion fx,Avulsion fracture of the distal fibular epiphysis,14.07,Probably,Abnormal,0
113,MS001,MS,Medical Student,113,A0214,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,12.889,Probably,Abnormal,0
114,MS001,MS,Medical Student,114,A0073,FALSE,None,Normal,14.321,Probably,Normal,0
115,MS001,MS,Medical Student,115,A0177,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,16.084,Probably,Abnormal,0
116,MS001,MS,Medical Student,116,A0011,FALSE,Medial malleolar avulsion fracture,Cannot rule out medial malleolar avulsion fracture,10.776,Probably,Abnormal,0
117,MS001,MS,Medical Student,117,A0012,FALSE,None,Normal,10.004,Probably,Normal,1
118,MS001,MS,Medical Student,118,A0117,FALSE,None,Normal,12.988,Probably,Normal,1
119,MS001,MS,Medical Student,119,A0211,FALSE,None,Normal,11.307,Probably,Normal,1
120,MS001,MS,Medical Student,120,A0198,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture,16.254,Probably,Abnormal,0
121,MS001,MS,Medical Student,121,A0245,FALSE,SH III of distal tibia,Salter-Harris III fracture of the distal tibia,22.402,Probably,Abnormal,0
122,MS001,MS,Medical Student,122,A0224,FALSE,SH II of dital fibula,Salter-Harris II of the distal fibula and ossific fragments inferior to the lateral malleolus representing an old fracture or a normal variant,23.543,Probably,Abnormal,1
123,MS001,MS,Medical Student,123,A0253,FALSE,SH IV of distal tibia,Salter-Harris IV fracture of the distal tibia,18.246,Definitely,Abnormal,1
124,MS001,MS,Medical Student,124,A0228,FALSE,SH II of distal tibia and spiral fracture of fibula,Salter-Harris II fracture of distal tibia  Spiral fracture of the fibula and tibia,12.798,Definitely,Abnormal,1
125,MS001,MS,Medical Student,125,A0057,FALSE,None,Normal,15.412,Probably,Normal,1
126,MS001,MS,Medical Student,126,A0028,FALSE,None,Normal,11.787,Probably,Normal,1
127,MS001,MS,Medical Student,127,A0229,FALSE,SH II of distal tibia,Salter-Harris II fracture of the distal tibia,10.355,Probably,Abnormal,0
128,MS001,MS,Medical Student,128,A0189,FALSE,None,Normal,14.761,Probably,Normal,1
129,MS001,MS,Medical Student,129,A0059,FALSE,None,Normal,10.865,Definitely,Normal,1
130,MS001,MS,Medical Student,130,A0084,FALSE,None,Normal,11.847,Definitely,Normal,1
131,MS001,MS,Medical Student,131,A0127,FALSE,None,Normal,10.555,Definitely,Normal,1
132,MS001,MS,Medical Student,132,A0003,FALSE,None,Normal,253.524,Definitely,Normal,1
133,MS001,MS,Medical Student,133,A0139,FALSE,None,Normal,27.34,Definitely,Normal,1
134,MS001,MS,Medical Student,134,A0100,FALSE,None,Normal,18.397,Probably,Normal,1
135,MS001,MS,Medical Student,135,A0225,FALSE,Avulsion of distal fibula,Avulsion fracture of the distal fibula,103.478,Probably,Abnormal,0
136,MS001,MS,Medical Student,136,A0060,FALSE,None,Normal,10.134,Definitely,Normal,1
137,MS001,MS,Medical Student,137,A0075,FALSE,None,Normal,10.856,Probably,Normal,1
138,MS001,MS,Medical Student,138,A0106,FALSE,None,Normal,13.87,Definitely,Normal,1
139,MS001,MS,Medical Student,139,A0202,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,27.469,Probably,Abnormal,0
140,MS001,MS,Medical Student,140,A0153,FALSE,SH1 and Avulsion fx of distal fibula,Suggestive of a Salter-Harris I fracture and most likely a distal fibular avulsion fracture,70.471,Probably,Abnormal,0
141,MS001,MS,Medical Student,141,A0248,FALSE,SH III of distal tibia,Salter-Harris III fracture of the distal tibia,60.658,Probably,Abnormal,0
142,MS001,MS,Medical Student,142,A0118,FALSE,None,Normal,11.106,Probably,Normal,1
143,MS001,MS,Medical Student,143,A0087,FALSE,None,Normal,15.713,Probably,Normal,1
144,MS001,MS,Medical Student,144,A0042,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,22.042,Probably,Abnormal,0
145,MS001,MS,Medical Student,145,A0254,FALSE,SH IV of distal tibia,Salter-Harris IV fracture of the distal tibia,14.461,Probably,Abnormal,0
146,MS001,MS,Medical Student,146,A0053,FALSE,None,Normal,10.525,Probably,Normal,1
147,MS001,MS,Medical Student,147,A0146,FALSE,None,Normal,9.995,Definitely,Normal,1
148,MS001,MS,Medical Student,148,A0029,FALSE,None,Normal,10.636,Definitely,Normal,0
149,MS001,MS,Medical Student,149,A0094,TRUE,Extraossification centre,Normal variant with extra ossification centre at distal tibia,106.303,Definitely,Normal,1
150,MS001,MS,Medical Student,150,A0187,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula and an os trigonum posterior to the talus,16.473,Probably,Abnormal,0
151,MS001,MS,Medical Student,151,A0174,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,14.04,Probably,Abnormal,0
152,MS001,MS,Medical Student,152,A0004,FALSE,A0001,Normal,16.614,Definitely,Normal,0
153,MS001,MS,Medical Student,153,A0109,FALSE,None,Normal,9.574,Definitely,Normal,1
154,MS001,MS,Medical Student,154,A0023,TRUE,Growth Arrest Line,Normal variant with the presence of a growth arrest line,9.364,Definitely,Normal,1
155,MS001,MS,Medical Student,155,A0150,FALSE,None,Normal,23.895,Probably,Normal,0
156,MS001,MS,Medical Student,156,A0213,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,8.422,Probably,Abnormal,0
157,MS001,MS,Medical Student,157,A0168,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula and extra ossification centre of talus,10.775,Probably,Abnormal,0
158,MS001,MS,Medical Student,158,A0191,FALSE,SH I of distal fibula. May be an avulsion fracture of distal fibula,Salter-Harris I fracture of the distal fibula cannot be excluded There may be an avulsion fracture of the distal fibula,10.185,Probably,Abnormal,0
159,MS001,MS,Medical Student,159,A0001,FALSE,None,Normal,9.484,Probably,Normal,1
160,MS001,MS,Medical Student,160,A0155,FALSE,Avulsion fx of distal fibula,Linear avulsion fracture of the distal fibular tip,17.014,Definitely,Abnormal,0
161,MS001,MS,Medical Student,161,A0056,FALSE,None,Normal,22.152,Probably,Normal,1
162,MS001,MS,Medical Student,162,A0181,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula; extra ossification centre of distal fibula,27.079,Probably,Abnormal,0
163,MS001,MS,Medical Student,163,A0101,FALSE,None,Normal,16.594,Probably,Normal,1
164,MS001,MS,Medical Student,164,A0105,FALSE,None,Normal,54.809,Probably,Normal,1
165,MS001,MS,Medical Student,165,A0126,FALSE,None,Normal variant with bony protruberance of calcaneous,8.092,Probably,Normal,1
166,MS001,MS,Medical Student,166,A0193,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula Growth arrest lines are seen on both the tibia and fibula,10.325,Definitely,Abnormal,0
167,MS001,MS,Medical Student,167,A0070,FALSE,None,Normal,36.262,Probably,Normal,0
168,MS001,MS,Medical Student,168,A0082,FALSE,None,Normal,18.858,Probably,Normal,1
169,MS001,MS,Medical Student,169,A0231,FALSE,SH II of distal tibia. Oblique fracture of the fibula,Salter-Harris II fracture of the distal tibia with significant displacement of the epiphysis Oblique fracture of the distal fibula,167.251,Definitely,Abnormal,1
170,MS001,MS,Medical Student,170,A0061,FALSE,None,Normal,17.876,Definitely,Normal,1
171,MS001,MS,Medical Student,171,A0246,FALSE,SH III of distal tibia,Tillaux fracture (Salter III) of the distal tibia,14.321,Definitely,Abnormal,1
172,MS001,MS,Medical Student,172,A0116,FALSE,None,Normal,18.647,Probably,Normal,1
173,MS001,MS,Medical Student,173,A0226,FALSE,SH II of distal fibula,Salter-Harris II fracture of the lateral aspect of the fibula,15.302,Probably,Abnormal,0
174,MS001,MS,Medical Student,174,A0008,FALSE,None,Normal,32.948,Probably,Normal,1
175,MS001,MS,Medical Student,175,A0147,FALSE,Avusion fx distal fibula,Avulsion fracture of distal fibula,29.993,Probably,Abnormal,0
176,MS001,MS,Medical Student,176,A0158,FALSE,Avulsion fx of distal fibula,Avulsion fracture of the distal fibula,13.71,Probably,Abnormal,0
177,MS001,MS,Medical Student,177,A0135,FALSE,None,Normal,10.224,Probably,Normal,1
178,MS001,MS,Medical Student,178,A0170,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,10.706,Probably,Abnormal,0
179,MS001,MS,Medical Student,179,A0090,FALSE,None,Normal,14.902,Probably,Normal,1
180,MS001,MS,Medical Student,180,A0129,FALSE,None,Normal,9.624,Probably,Normal,1
181,MS001,MS,Medical Student,181,A0138,FALSE,None,Normal,13.479,Probably,Normal,1
182,MS001,MS,Medical Student,182,A0077,FALSE,None,Normal,22.302,Probably,Normal,1
183,MS001,MS,Medical Student,183,A0086,FALSE,None,Normal,10.274,Probably,Normal,1
184,MS001,MS,Medical Student,184,A0076,FALSE,None,Normal,8.412,Probably,Normal,1
185,MS001,MS,Medical Student,185,A0081,FALSE,None,Normal,18.217,Probably,Normal,1
186,MS001,MS,Medical Student,186,A0048,FALSE,None,Normal,10.726,Definitely,Normal,1
187,MS001,MS,Medical Student,187,A0027,FALSE,None,Normal,24.024,Definitely,Normal,1
188,MS001,MS,Medical Student,188,A0175,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,9.664,Probably,Abnormal,0
189,MS001,MS,Medical Student,189,A0078,FALSE,None,Normal,8.802,Probably,Normal,1
190,MS001,MS,Medical Student,190,A0133,FALSE,None,Normal,26.709,Probably,Normal,1
191,MS001,MS,Medical Student,191,A0172,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,9.273,Probably,Abnormal,0
192,MS001,MS,Medical Student,192,A0052,FALSE,None,Normal,33.959,Definitely,Normal,1
193,MS001,MS,Medical Student,193,A0018,FALSE,None,Normal,70.131,Probably,Normal,1
194,MS001,MS,Medical Student,194,A0021,FALSE,None,Normal,15.392,Probably,Normal,1
195,MS001,MS,Medical Student,195,A0142,FALSE,None,Normal,23.844,Definitely,Normal,1
196,MS001,MS,Medical Student,196,A0065,FALSE,None,Normal,9.624,Definitely,Normal,1
197,MS001,MS,Medical Student,197,A0017,FALSE,None,Normal,10.866,Probably,Normal,1
198,MS001,MS,Medical Student,198,A0107,FALSE,None,Normal,8.022,Definitely,Normal,1
199,MS001,MS,Medical Student,199,A0044,FALSE,None,Normal,10.465,Probably,Normal,1
200,MS001,MS,Medical Student,200,A0050,FALSE,None,Normal,11.847,Probably,Normal,1
201,MS001,MS,Medical Student,201,A0125,FALSE,None,Normal,13.809,Probably,Normal,0
202,MS001,MS,Medical Student,202,A0141,FALSE,None,Normal,7.922,Probably,Normal,1
203,MS001,MS,Medical Student,203,A0119,FALSE,None,Normal variant with growth arrest line at distal tibia,10.004,Definitely,Normal,1
204,MS001,MS,Medical Student,204,A0221,FALSE,SH I of distal fibula. May be normal variant.,Avulsion fracture of the medial aspect of the distal fibula versus a normal variant  Can not rule out a Salter-Harris I fracture of distal fibula,17.385,Probably,Abnormal,1
205,MS001,MS,Medical Student,205,A0185,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,24.015,Probably,Abnormal,1
206,MS001,MS,Medical Student,206,A0040,FALSE,None,Normal,30.133,Probably,Normal,1
207,MS001,MS,Medical Student,207,A0111,FALSE,None,Normal,15.783,Probably,Normal,1
208,MS001,MS,Medical Student,208,A0002,FALSE,None,Normal,10.535,Probably,Normal,1
209,MS001,MS,Medical Student,209,A0183,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,54.589,Probably,Abnormal,1
210,MS001,MS,Medical Student,210,A0233,FALSE,SH II of distal tibia,Salter-Harris II fracture of distal tibia,12.468,Definitely,Abnormal,0
211,MS001,MS,Medical Student,211,A0128,FALSE,None,Normal,10.566,Probably,Normal,1
212,MS001,MS,Medical Student,212,A0085,FALSE,None,Normal,8.943,Definitely,Normal,1
213,MS001,MS,Medical Student,213,A0115,FALSE,None,Normal,32.907,Definitely,Normal,1
214,MS001,MS,Medical Student,214,A0088,FALSE,None,Normal,6.339,Probably,Normal,1
215,MS001,MS,Medical Student,215,A0164,FALSE,Distal fibular epiphyseal avulsion fx,Linear avulsion fracture of the tip of the fibular epiphysis,10.726,Probably,Abnormal,0
216,MS001,MS,Medical Student,216,A0016,FALSE,None,Normal,16.644,Probably,Normal,1
217,MS001,MS,Medical Student,217,A0063,FALSE,None,Normal,11.106,Definitely,Normal,1
218,MS001,MS,Medical Student,218,A0143,FALSE,None,Normal,10.435,Definitely,Normal,1
219,MS001,MS,Medical Student,219,A0102,FALSE,None,Normal,17.305,Probably,Normal,1
220,MS001,MS,Medical Student,220,A0033,TRUE,Os supranaviculare,Normal variant with an os supranaviculare,9.694,Definitely,Normal,1
221,MS001,MS,Medical Student,221,A0098,FALSE,None,Normal,12.938,Probably,Normal,0
222,MS001,MS,Medical Student,222,A0014,FALSE,None,Normal,8.913,Probably,Normal,1
223,MS001,MS,Medical Student,223,A0022,FALSE,None,Normal,14.992,Definitely,Normal,1
224,MS001,MS,Medical Student,224,A0237,FALSE,SH II of distal tibia,Displaced Salter-Harris II fracture of the distal tibia,25.356,Probably,Abnormal,0
